keys,es,en
dulce_hogar_puerta,No tengo ganas de salir todavia.,I do not wanna go outside now.
ventana_dulce_hogar,Que bonita ventana al parque., What a wonderful view.
dia_1_dialogo1_interacion1, Hoy sera un dia mejor que ayer,Today will be a better day than yesterday.
dia_1_dialogo2_interacion1,Y despues..., and tomorrow
dia_1_dialogo3_interacion1,Mejor que el dia de hoy., Better than today.
dia_1_dialogo1_interacion2,Debería llamar a mi hija. quizas podamos comer juntos otra vez,I should give my daughter a call; maybe we could have lunch together again.
dia_1_dialogo1_interacion3,Nunca pense que me daria más miedo un papel que lo que contenía,I never thought a piece of paper would scare me more than what it contained
dia_2_dialogo1_interacion1,¿Qué es ese ruido?,What’s that noise?
dia_2_dialogo2_interacion1,Seguramente sean los conductos de ventilacion.,It’s probably the ventilation ducts
dia_2_dialogo3_interacion1,Aqui esta,Here it is.
dia_2_dialogo1_interacion2,Debería empezar a aprovechar mas el tiempo que me queda,I should start making better use of the time I have left
dia_2_dialogo2_interacion2,Necesito ser mas rapido,I need to be quicker
dia_2_dialogo3_interacion2,Mi hija lo agradeceria después de todo.,My daughter would appreciate it after all.
dia_2_dialogo1_interacion3,Debería haber hablado con mi hija. pero ya lo haré en otro momento,I should have spoken to my daughter but I'll do it in another moment.
